Date,Product ID,Product Name,Quantity,Unit Price ($),Total Price ($)
"14/09/2025, 6:00:00 am",P1003,Tab. Antacid,28,0,0
"14/09/2025, 6:00:00 am",P1004,Tab. B/C,60,0,0
"14/09/2025, 6:00:00 am",P1065,Tab. Barbit,10,0,0
"14/09/2025, 6:00:00 am",P1006,Tab. Calcium 300mg,70,0,0
"14/09/2025, 6:00:00 am",P1064,Tab. Calcium 500mg,30,0,0
"14/09/2025, 6:00:00 am",P1024,Tab. Cetirizine,10,0,0
"14/09/2025, 6:00:00 am",P1013,Tab. Cotrim,10,0,0
"14/09/2025, 6:00:00 am",P1007,Tab. F/S,30,0,0
"14/09/2025, 6:00:00 am",P1002,Tab. Histacin,88,0,0
"14/09/2025, 6:00:00 am",P1005,Tab. Metro 400mg,20,0,0
"14/09/2025, 6:00:00 am",P1021,Tab. Pantoprazole,8,0,0
"14/09/2025, 6:00:00 am",P1001,Tab. Paracetamol,84,0,0
"14/09/2025, 6:00:00 am",P1010,Tab. Salbutamol,40,0,0
"14/09/2025, 6:00:00 am",P1012,Tab. Tiemonium Methylsulphate,10,0,0
"14/09/2025, 6:00:00 am",P1033,Cap. Tetracycline,10,0,0
"14/09/2025, 6:00:00 am",P1040,Syp. Paracetamol,1,0,0
"15/09/2025, 6:00:00 am",P1003,Tab. Antacid,107,0,0
"15/09/2025, 6:00:00 am",P1004,Tab. B/C,500,0,0
"15/09/2025, 6:00:00 am",P1065,Tab. Barbit,20,0,0
"15/09/2025, 6:00:00 am",P1006,Tab. Calcium 300mg,380,0,0
"15/09/2025, 6:00:00 am",P1064,Tab. Calcium 500mg,150,0,0
"15/09/2025, 6:00:00 am",P1024,Tab. Cetirizine,42,0,0
"15/09/2025, 6:00:00 am",P1025,Tab. Ciprocin,10,0,0
"15/09/2025, 6:00:00 am",P1013,Tab. Cotrim,310,0,0
"15/09/2025, 6:00:00 am",P1014,Tab. Diclofen,20,0,0
"15/09/2025, 6:00:00 am",P1015,Tab. Domperidon,20,0,0
"15/09/2025, 6:00:00 am",P1007,Tab. F/S,530,0,0
"15/09/2025, 6:00:00 am",P1002,Tab. Histacin,324,0,0
"15/09/2025, 6:00:00 am",P1017,Tab. Losartan Potassium,10,0,0
"15/09/2025, 6:00:00 am",P1005,Tab. Metro 400mg,110,0,0
"15/09/2025, 6:00:00 am",P1028,Tab. Montelukast,10,0,0
"15/09/2025, 6:00:00 am",P1021,Tab. Pantoprazole,22,0,0
"15/09/2025, 6:00:00 am",P1001,Tab. Paracetamol,522,0,0
"15/09/2025, 6:00:00 am",P1010,Tab. Salbutamol,190,0,0
"15/09/2025, 6:00:00 am",P1035,Cap. Amoxicillin 250mg,10,0,0
"15/09/2025, 6:00:00 am",P1034,Cap. Doxycycline,40,0,0
"15/09/2025, 6:00:00 am",P1033,Cap. Tetracycline,60,0,0
"15/09/2025, 6:00:00 am",P1043,Syp. Amoxicillin,1,0,0
"15/09/2025, 6:00:00 am",P1041,Syp. Histacin,6,0,0
"15/09/2025, 6:00:00 am",P1068,Syp. Kitotifen,4,0,0
"15/09/2025, 6:00:00 am",P1045,Syp. Metro,1,0,0
"15/09/2025, 6:00:00 am",P1040,Syp. Paracetamol,10,0,0
"15/09/2025, 6:00:00 am",P1042,Syp. Salbutamol,9,0,0
"15/09/2025, 6:00:00 am",P1061,E/D. Chloramphenicol,3,0,0
"16/09/2025, 6:00:00 am",P1016,Tab. Amlodipine,10,0,0
"16/09/2025, 6:00:00 am",P1003,Tab. Antacid,74,0,0
"16/09/2025, 6:00:00 am",P1004,Tab. B/C,270,0,0
"16/09/2025, 6:00:00 am",P1006,Tab. Calcium 300mg,200,0,0
"16/09/2025, 6:00:00 am",P1025,Tab. Ciprocin,10,0,0
"16/09/2025, 6:00:00 am",P1014,Tab. Diclofen,26,0,0
"16/09/2025, 6:00:00 am",P1015,Tab. Domperidon,10,0,0
"16/09/2025, 6:00:00 am",P1007,Tab. F/S,180,0,0
"16/09/2025, 6:00:00 am",P1002,Tab. Histacin,248,0,0
"16/09/2025, 6:00:00 am",P1005,Tab. Metro 400mg,100,0,0
"16/09/2025, 6:00:00 am",P1028,Tab. Montelukast,10,0,0
"16/09/2025, 6:00:00 am",P1021,Tab. Pantoprazole,36,0,0
"16/09/2025, 6:00:00 am",P1001,Tab. Paracetamol,282,0,0
"16/09/2025, 6:00:00 am",P1010,Tab. Salbutamol,100,0,0
"16/09/2025, 6:00:00 am",P1035,Cap. Amoxicillin 250mg,10,0,0
"16/09/2025, 6:00:00 am",P1034,Cap. Doxycycline,30,0,0
"16/09/2025, 6:00:00 am",P1033,Cap. Tetracycline,10,0,0
"16/09/2025, 6:00:00 am",P1041,Syp. Histacin,4,0,0
"16/09/2025, 6:00:00 am",P1045,Syp. Metro,1,0,0
